company_id,type,rule_id,text,confidence_pct
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C1,High Debt-to-Equity ratio of 1.05,61.07626076260763
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C1,High Debt-to-Equity ratio of 1.10,62.033593281343734
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C1,High Debt-to-Equity ratio of 1.08,61.532934131736525
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
APOLLOHOSP,Pro,P0,Stable market position within Nifty 100.,61.0
APOLLOHOSP,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ASIANPAINT,Pro,P0,Stable market position within Nifty 100.,61.0
ASIANPAINT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C1,High Debt-to-Equity ratio of 1.32,66.47637795275591
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ATGL,Pro,P0,Stable market position within Nifty 100.,61.0
ATGL,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.93,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.68,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 9.05,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.82,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 9.36,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 9.52,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 10.50,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 9.23,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.21,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.63,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.88,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AXISBANK,Pro,P0,Stable market position within Nifty 100.,61.0
AXISBANK,Con,C1,High Debt-to-Equity ratio of 8.25,100.0
AXISBANK,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJ-AUTO,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJ-AUTO,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 1.67,73.3017175083312
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 2.09,81.89647766323024
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 2.37,87.45603751465416
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 2.65,93.03625266563718
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 2.99,99.78824840567148
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 3.21,100.0
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 4.20,100.0
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 4.06,100.0
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 3.59,100.0
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
BAJAJFINSV,Pro,P0,Stable market position within Nifty 100.,61.0
BAJAJFINSV,Con,C1,High Debt-to-Equity ratio of 4.00,100.0
BAJAJFINSV,Con,C2,Sub-par Return on Equity (< 8%).,75.0
